Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,THAT GUY,Tyler The Creator,2,n/a,n/a,https://www.youtube.com/watch?v=M0qiZHV4E3U
2,7,APT.,ROSÉ & Bruno Mars,70,n/a,n/a,https://www.youtube.com/watch?v=ekr2nIex040
3,11,Die With A Smile,Lady Gaga & Bruno Mars,133,n/a,n/a,https://www.youtube.com/watch?v=kPa7bsKwL-c
4,12,WHATCHU KNO ABOUT ME,GloRilla & Sexyy Red,77,n/a,n/a,https://www.youtube.com/watch?v=Py9S2bD0RZQ
5,19,Beautiful Things,Benson Boone,343,n/a,n/a,https://www.youtube.com/watch?v=Oa_RSwwpPaA
6,28,Dreamers (FIFA World Cup 2022 Soundtrack),Jung Kook & BTS,13,n/a,n/a,https://www.youtube.com/watch?v=IwzkfMmNMpM
7,24,A Bar Song (Tipsy),Shaboozey,259,n/a,n/a,https://www.youtube.com/watch?v=t7bQwwqW-Hc
8,1,All I Want for Christmas Is You (Make My Wish Come True Edition),Mariah Carey,117,n/a,n/a,https://www.youtube.com/watch?v=aAkMkVFwAoo
9,15,I LUV HER,GloRilla & T-Pain,42,n/a,n/a,https://www.youtube.com/watch?v=q44VdjcsjPg
10,29,squabble up,Kendrick Lamar,31,n/a,n/a,https://www.youtube.com/watch?v=fuV4yQWdn_4
11,39,Empty Out Your Pockets,Juice WRLD,27,n/a,n/a,https://www.youtube.com/watch?v=hgYhws0AHcg
12,20,PRESIDENTE,Gabito Ballesteros & Natanael Cano & Luis R Conriquez,66,n/a,n/a,https://www.youtube.com/watch?v=x6UvVnZ-VBE
13,32,Not Like Us,Kendrick Lamar,175,n/a,n/a,https://www.youtube.com/watch?v=H58vbez_m4E
14,13,Si No Quieres No,Luis R Conriquez & Neton Vega,278,n/a,n/a,https://www.youtube.com/watch?v=-V-sywKOCwQ
15,21,Si Antes Te Hubiera Conocido,KAROL G,185,n/a,n/a,https://www.youtube.com/watch?v=QCZZwZQ4qNs
16,50,I Had Some Help,Post Malone,231,n/a,n/a,https://www.youtube.com/watch?v=4QIZE708gJ4
17,n/a,Railway (Bang Chan),Stray Kids,1,n/a,n/a,https://www.youtube.com/watch?v=27rdSyt-Qt8
18,61,BIRDS OF A FEATHER,Billie Eilish,91,n/a,n/a,https://www.youtube.com/watch?v=V9PVRfjEBTI
19,44,Wanna Be,GloRilla,265,n/a,n/a,https://www.youtube.com/watch?v=BT_83vSP1es
20,3,Last Christmas,Wham!,106,n/a,n/a,https://www.youtube.com/watch?v=E8gmARGvPlI
21,40,Tu Boda,Óscar Maydon & Fuerza Regida,72,n/a,n/a,https://www.youtube.com/watch?v=_ymicn0_GYc
22,38,Shake Dat Ass (Twerk Song),BossMan Dlow,107,n/a,n/a,https://www.youtube.com/watch?v=x24qP3sjrvw
23,64,Thick Of It (Remix),KSI,85,n/a,n/a,https://www.youtube.com/watch?v=At8v_Yc044Y
24,30,Bing Bong,Yailin la Mas Viral & Puyalo Pantera,42,n/a,n/a,https://www.youtube.com/watch?v=YpoUzo-CflQ
25,22,Regalo de Dios,Julión Álvarez y su Norteño Banda,357,n/a,n/a,https://www.youtube.com/watch?v=-RjwFR6H7_w
26,47,TGIF,GloRilla,182,n/a,n/a,https://www.youtube.com/watch?v=zP6eqCOM7tk
27,53,RIO FREE,Rio Da Yung Og,14,n/a,n/a,https://www.youtube.com/watch?v=0Bj6QCU3Ggg
28,n/a,PIToRRO DE COCO,Bad Bunny,1,n/a,n/a,https://www.youtube.com/watch?v=CQn5bu87iD8
29,65,NADIE,Tito Double P,35,n/a,n/a,https://www.youtube.com/watch?v=sI2TE_hYFYQ
30,n/a,Espresso (Official Video),Sabrina Carpenter,256,n/a,n/a,https://www.youtube.com/watch?v=eVli-tstM5E
31,66,Drive,SZA,7,n/a,n/a,https://www.youtube.com/watch?v=1Wdzodfx87s
32,54,LA PATRULLA,Peso Pluma & Neton Vega,112,n/a,n/a,https://www.youtube.com/watch?v=Fr9rMmMp3mY
33,9,Navidad sin ti,Marco Antonio Solís,34,n/a,n/a,https://www.youtube.com/watch?v=50VuaEUx830
34,4,Rockin' Around The Christmas Tree,Brenda Lee,73,n/a,n/a,https://www.youtube.com/watch?v=TFsZy9t-qDc
35,n/a,LA CUEVA,Cazzu,7,n/a,n/a,https://www.youtube.com/watch?v=Zdu4oUgpXC8
36,67,25,Rod Wave,75,n/a,n/a,https://www.youtube.com/watch?v=-SSgaCAsU6M
37,n/a,Godzilla,Eminem,115,n/a,n/a,https://www.youtube.com/watch?v=r_0JjYUe5jo
38,98,you look like you love me (Official Video),Ella Langley (feat. Riley Green),109,n/a,n/a,https://www.youtube.com/watch?v=Dm2TSMerGPQ
39,n/a,Lose Control,Teddy Swims,54,n/a,n/a,https://www.youtube.com/watch?v=9gWIIIr2Asw
40,n/a,Help Me,Real Boston Richey,164,n/a,n/a,https://www.youtube.com/watch?v=IXJTaHySW8I
41,62,Heart Of A Woman,Summer Walker,2,n/a,n/a,https://www.youtube.com/watch?v=1ipRd0WgB0c
42,78,25,Rod Wave,68,n/a,n/a,https://www.youtube.com/watch?v=VR9qpqBbJJk
43,63,DOS DÍAS,Tito Double P & Peso Pluma,56,n/a,n/a,https://www.youtube.com/watch?v=F3UVBS1V3U4
44,79,HOLLYWOOD,Peso Pluma & Estevan Plazola,13,n/a,n/a,https://www.youtube.com/watch?v=rCL8-CiGSmc
45,94,Sneaking,YoungBoy Never Broke Again,42,n/a,n/a,https://www.youtube.com/watch?v=1ILUps2zDFU
46,70,EL LOKERON,Tito Double P,79,n/a,n/a,https://www.youtube.com/watch?v=54YpK2I6BM8
47,69,Rey Sin Reina,Julión Álvarez y su Norteño Banda,110,n/a,n/a,https://www.youtube.com/watch?v=ElRVZ09939k
48,89,Fall Fast in Love,Rod Wave,91,n/a,n/a,https://www.youtube.com/watch?v=eM2hELFg3wE
49,n/a,Gata Only,FloyyMenor & Cris Mj,244,n/a,n/a,https://www.youtube.com/watch?v=-r687V8yqKY
50,82,Heart Of A Woman,Summer Walker,63,n/a,n/a,https://www.youtube.com/watch?v=SFddctbZzw8
51,88,SILLA,Yailin la Mas Viral,7,n/a,n/a,https://www.youtube.com/watch?v=XG6lqkfi6so
52,n/a,Robbery,Juice WRLD,38,n/a,n/a,https://www.youtube.com/watch?v=iI34LYmJ1Fs
53,n/a,Timeless,The Weeknd & Playboi Carti,68,n/a,n/a,https://www.youtube.com/watch?v=5EpyN_6dqyk
54,n/a,Morena Canela,Chino Pacas,46,n/a,n/a,https://www.youtube.com/watch?v=j9HE268Um30
55,n/a,Giannis,Hurricane Wisdom,80,n/a,n/a,https://www.youtube.com/watch?v=s5JaOnul46A
56,n/a,WILDFLOWER,Billie Eilish,115,n/a,n/a,https://www.youtube.com/watch?v=l08Zw-RY__Q
57,99,Passport Junkie,Rod Wave,102,n/a,n/a,https://www.youtube.com/watch?v=EYcLEizR_fM
58,n/a,HIM ALL ALONG,Gunna,40,n/a,n/a,https://www.youtube.com/watch?v=w7Wf0h1Q8a4
59,n/a,Ransom,Lil Tecca,6,n/a,n/a,https://www.youtube.com/watch?v=1XzY2ij_vL4
60,n/a,Taste,Sabrina Carpenter,124,n/a,n/a,https://www.youtube.com/watch?v=KEG7b851Ric
61,n/a,Baby I Love You,Dany Ome & Kevincito El 13,1,n/a,n/a,https://www.youtube.com/watch?v=d76L2bUp7v8
62,95,No Son Doritos,CLAVE ESPECIAL & Luis R Conriquez,105,n/a,n/a,https://www.youtube.com/watch?v=lBKMQG_t1GI
63,n/a,Amor,emmanuellcortess_,31,n/a,n/a,https://www.youtube.com/watch?v=TX-1dI8t6WM
64,n/a,All Girls Are The Same,Juice WRLD,40,n/a,n/a,https://www.youtube.com/watch?v=h3EJICKwITw
65,n/a,IRan,Rod Wave,41,n/a,n/a,https://www.youtube.com/watch?v=hpee_qmBBHw
66,n/a,The Bottom 3,Glorb,5,n/a,n/a,https://www.youtube.com/watch?v=zqOGDO-kSpE
67,n/a,Сигма Бой,Betsy & Мария Янковская,5,n/a,n/a,https://www.youtube.com/watch?v=frAhxXbLetk
68,n/a,Defying Gravity,Cynthia Erivo,27,n/a,n/a,https://www.youtube.com/watch?v=qeqj5GnoFUY
69,n/a,DOS DÍAS,Tito Double P & Peso Pluma,119,n/a,n/a,https://www.youtube.com/watch?v=nne3lXKc1OU
70,n/a,Khé?,Rauw Alejandro & Romeo Santos,19,n/a,n/a,https://www.youtube.com/watch?v=J8U9czVT7tM
71,n/a,Wishing Well,Juice WRLD,14,n/a,n/a,https://www.youtube.com/watch?v=C5i-UnuUKUI
72,n/a,DEPORTIVO,Blessd & Anuel AA,39,n/a,n/a,https://www.youtube.com/watch?v=vf2N-7AUHB4
73,n/a,2AM,BigXthaPlug,72,n/a,n/a,https://www.youtube.com/watch?v=xA59TgXyuX0
74,n/a,Can I Get A Chee Hoo? (From "Moana 2") (In 26 Languages),DisneyMusicVEVO,1,n/a,n/a,https://www.youtube.com/watch?v=OOtENUBVMvg
75,n/a,ESCAPATE,Tito Double P & Chino Pacas,100,n/a,n/a,https://www.youtube.com/watch?v=KIvwGI4eDGg
76,91,CHAPA,Yailin la Mas Viral & Puyalo Pantera,22,n/a,n/a,https://www.youtube.com/watch?v=0LNwgTossHo
77,n/a,Auntie Ain’t Playin,1900Rugrat,12,n/a,n/a,https://www.youtube.com/watch?v=07hiQrl8vck
78,n/a,YNW Melly - Murder On My Mind [Official Video],YNW Melly,1,n/a,n/a,https://www.youtube.com/watch?v=hqDinxaPUK4
79,n/a,Brokey,Latto,59,n/a,n/a,https://www.youtube.com/watch?v=-HXRhd40u_o
80,n/a,Bad At Love,Halsey,21,n/a,n/a,https://www.youtube.com/watch?v=xdYFuCp3m9k
81,n/a,El Mayor de los Ranas,Victor Valverde & JR Torres,10,n/a,n/a,https://www.youtube.com/watch?v=4Ez2wJnlwag
82,n/a,Chill Guy,41 & TaTa & Jenn Carter,2,n/a,n/a,https://www.youtube.com/watch?v=BsOjz88B-AE
83,n/a,The Box,Roddy Ricch,49,n/a,n/a,https://www.youtube.com/watch?v=UNZqm3dxd2w
84,n/a,I Always Wanted A Brother,Braelyn Rankins & Theo Somolu & Aaron Pierre & Kelvin Harrison Jr.,1,n/a,n/a,https://www.youtube.com/watch?v=RSW8qYXyfRQ
85,n/a,Play My Way,Jakeneutron & blair greene-osako & Meelz,5,n/a,n/a,https://www.youtube.com/watch?v=mV4QTILzU04
86,n/a,Qué Pasaría...,Rauw Alejandro & Bad Bunny,36,n/a,n/a,https://www.youtube.com/watch?v=g08y_x83d5E
87,n/a,Moonlight (Instrumental),XXXTENTACION,1,n/a,n/a,https://www.youtube.com/watch?v=GX8Hg6kWQYI
88,n/a,5-7,Tito Double P & Junior H,38,n/a,n/a,https://www.youtube.com/watch?v=fYisEGn8etQ
89,n/a,Armed And Dangerous,Juice WRLD,18,n/a,n/a,https://www.youtube.com/watch?v=cr82wSBZeeQ
90,n/a,Little Things,Ella Mai,14,n/a,n/a,https://www.youtube.com/watch?v=bbw4-yOszDc
91,n/a,Love Somebody,Morgan Wallen,46,n/a,n/a,https://www.youtube.com/watch?v=zxMo0CZZzyg
92,n/a,Rap God,Eminem,30,n/a,n/a,https://www.youtube.com/watch?v=XbGs_qK2PQA
93,n/a,FE!N,Travis Scott,78,n/a,n/a,https://www.youtube.com/watch?v=B9synWjqBn8
94,n/a,Last Lap,Rod Wave,54,n/a,n/a,https://www.youtube.com/watch?v=k-z52Y1MoSY
95,n/a,My Baby,STAR BANDZ & Sugarhill Ddot,80,n/a,n/a,https://www.youtube.com/watch?v=AR7fbSL54f8
96,n/a,Big Dawgs,Hanumankind & Kalmi,130,n/a,n/a,https://www.youtube.com/watch?v=hOHKltAiKXQ
97,n/a,DIOS POR DELANTE,Hermanos Espinoza,100,n/a,n/a,https://www.youtube.com/watch?v=qiLSiIByZNE
98,n/a,The Door,Teddy Swims,69,n/a,n/a,https://www.youtube.com/watch?v=VSXT4a2kRHA
99,n/a,One Take Freestyle,1900Rugrat,17,n/a,n/a,https://www.youtube.com/watch?v=cnuHqOuM8cA
100,n/a,El Punto (Prod. by Ernesto Losa),Charly & Johayron & Bebeshito & El Taiger & Ernesto Losa,82,n/a,n/a,https://www.youtube.com/watch?v=ae41hY_QdY0
